,type,company,title,salary,location,date,year
3338,DS,1010DATA SERVICES LLC,DATA SCIENTIST,100000.0,"NEW YORK, NY",2015-11-16,2015
498,ML,3M COMPANY,RESEARCH SCIENTIST,94621.0,"ST. PAUL, MN",2015-02-16,2015
4958,DA,3S BUSINESS CORPORATION,DATA ANALYST,82000.0,"HOUSTON, TX",2015-03-18,2015
3362,DS,4INFO INC,DATA SCIENTIST,100000.0,"SAN MATEO, CA",2015-02-23,2015
154,DS,4RC IO LLC,DATA SCIENTIST,130000.0,"MCLEAN, VA",2015-03-19,2015
155,DS,4RC IO LLC,DATA SCIENTIST,130000.0,"MCLEAN, VA",2015-03-19,2015
1878,DS,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946.0,"SAN FRANCISCO, CA",2015-04-29,2015
1879,DS,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946.0,"SAN FRANCISCO, CA",2015-05-06,2015
1880,DS,6 SENSE INSIGHTS INC,DATA SCIENTIST,85946.0,"SAN FRANCISCO, CA",2015-05-07,2015
7441,DS,6 SENSE INSIGHTS INC,SENIOR DATA SCIENTIST,85946.0,"SAN FRANCISCO, CA",2015-02-25,2015
6730,DA,7PARK DATA LLC,DATA ANALYST - OPS,75000.0,"NEW YORK, NY",2015-03-18,2015
246,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST I,111000.0,"CUPERTINO, CA",2015-11-24,2015
247,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST I,111000.0,"CUPERTINO, CA",2015-11-24,2015
254,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST I,115000.0,"SAN FRANCISCO, CA",2015-09-03,2015
440,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST II,130200.0,"CUPERTINO, CA",2015-11-24,2015
612,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST II,166800.0,"SUNNYVALE, CA",2015-09-23,2015
625,ML,A2Z DEVELOPMENT CENTER INC,APPLIED SCIENTIST II,170000.0,"SUNNYVALE, CA",2015-12-15,2015
1691,ML,A2Z DEVELOPMENT CENTER INC,MACHINE LEARNING SCIENTIST I,98700.0,"CUPERTINO, CA",2015-03-26,2015
1913,DE,A2Z DEVELOPMENT CENTER INC,DATA ENGINEER,115000.0,"SAN FRANCISCO, CA",2015-03-16,2015
1034,ML,A2Z DEVELOPMENT CENTER INC,RESEARCH SCIENTIST I,70700.0,"CUPERTINO, CA",2015-01-05,2015
1038,ML,A2Z DEVELOPMENT CENTER INC,RESEARCH SCIENTIST I,100500.0,"SUNNYVALE, CA",2015-09-14,2015
1042,ML,A2Z DEVELOPMENT CENTER INC,RESEARCH SCIENTIST II,94500.0,"CUPERTINO, CA",2015-01-08,2015
1046,ML,A2Z DEVELOPMENT CENTER INC,RESEARCH SCIENTIST II,120000.0,"SEATTLE, WA",2015-01-23,2015
1054,ML,A2Z DEVELOPMENT CENTER INC,RESEARCH SCIENTIST II,160000.0,"CUPERTINO, CA",2015-06-09,2015
1931,DA,AARKI INC,DATA ANALYST,60528.0,"MOUNTAIN VIEW, CA",2015-03-17,2015
3452,DA,ABAL TECHNOLOGIES INC,DATA ANALYST,70000.0,"NEW YORK, NY",2015-04-15,2015
602,DE,ABOUT INC,DATA ENGINEER,80600.0,"NEW YORK, NY",2015-04-24,2015
1093,DA,ACADIA TECHNOLOGIES INC,DATA ANALYST,55000.0,"BLOOMINGTON, MN",2015-03-17,2015
1738,DA,ACADIA TECHNOLOGIES INC,DATA ANALYST,60000.0,"BLOOMINGTON, MN",2015-02-19,2015
1177,DA,ACADIAN ASSET MANAGEMENT LLC,DATA ANALYST,57000.0,"BOSTON, MA",2015-03-17,2015
1919,DS,ACCENTURE LLP,DATA SCIENTIST,86700.0,"ATLANTA, GA",2015-03-10,2015
2286,DA,ACCENTURE LLP,DATA ANALYST,63300.0,"ST. PETERSBURG, FL",2015-03-12,2015
911,DA,ACCENZ LLC,DATA ANALYST,52603.0,"TROY, MI",2015-03-18,2015
1761,DA,ACCENZ LLC,DATA ANALYST,60000.0,"TROY, MI",2015-03-05,2015
1769,DA,ACCENZ LLC,DATA ANALYST,60000.0,"TROY, MI",2015-03-11,2015
9789,DA,ACCION LABS US INC,SENIOR DATA ANALYST,100000.0,"PITTSBURGH, PA",2015-07-28,2015
2360,DS,ACCOMPLICE INC,DATA SCIENTIST,90000.0,"SAN FRANCISCO, CA",2015-03-10,2015
4213,DA,ACMESOFT GLOBAL INC,DATA ANALYST,75000.0,"POTOMAC FALLS, VA",2015-03-21,2015
2958,DA,ACNOVATE CORPORATION,DATA ANALYST,67000.0,"SANTA CLARA, CA",2015-03-04,2015
2871,DA,ACRO SERVICE CORP,DATA ANALYST,66310.0,"FRANKLIN, TN",2015-03-12,2015
1317,DA,ACXIOM CORPORATION,DATA ANALYST,59738.0,"BURLINGTON, MA",2015-11-06,2015
3948,DS,ADARA MEDIA INC,DATA SCIENTIST,108000.0,"MOUNTAIN VIEW, CA",2015-02-27,2015
10620,DS,ADATAO INC,DATA SCIENCE SOFTWARE ENGINEER,108161.0,"MOUNTAIN VIEW, CA",2015-10-07,2015
